,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
3201.7,-21.88315,3201.7,34.45909,3201.7,24.5121,3201.7,-66.42275,3201.7,-0.11233,3201.7,1.49064
3200.49,-18.07761,3200.49,26.90356,3200.49,18.82933,3200.49,-52.21627,3200.49,-1.14115,3200.49,0.56861
3199.28,-14.33143,3199.28,20.0685,3199.28,13.7827,3199.28,-39.25516,3199.28,-1.74974,3199.28,-0.0835
3198.07,-10.64461,3198.07,13.95389,3198.07,9.3722,3198.07,-27.53941,3198.07,-1.9381,3198.07,-0.46569
3196.86,-7.01716,3196.86,8.55973,3196.86,5.59782,3196.86,-17.06903,3196.86,-1.70622,3196.86,-0.57796
3195.65,-3.44908,3195.65,3.88604,3195.65,2.45958,3195.65,-7.84402,3195.65,-1.05411,3195.65,-0.4203
3194.44,0.05964,3194.44,-0.06719,3194.44,-0.04253,3194.44,0.13563,3194.44,0.01823,3194.44,0.00727
3193.23,3.50899,3193.23,-3.29997,3193.23,-1.90851,3193.23,6.86991,3193.23,1.5108,3193.23,0.70476
3192.02,6.89897,3192.02,-5.81228,3192.02,-3.13836,3192.02,12.35882,3192.02,3.4236,3192.02,1.67217
3190.8,10.24273,3190.8,-7.59253,3190.8,-3.7176,3190.8,16.6139,3190.8,5.76774,3190.8,2.92099
3189.59,13.51398,3189.59,-8.66393,3189.59,-3.67519,3189.59,19.61208,3189.59,8.521,3189.59,4.42824
3188.38,16.10561,3188.38,-5.7072,3188.38,9.87324,3188.38,25.65131,3188.38,10.43704,3188.38,0.61893
3187.17,10.96885,3187.17,-9.01815,3187.17,15.41733,3187.17,28.11039,3187.17,10.87867,3187.17,3.4689
3185.95,22.03401,3185.95,-11.89569,3185.95,10.40184,3185.95,23.25615,3185.95,19.23978,3185.95,3.71135
3184.74,28.01027,3184.74,-7.64489,3184.74,5.34362,3184.74,18.58859,3184.74,30.19096,3184.74,-1.14776
3183.53,27.25725,3183.53,0.66857,3183.53,10.89724,3183.53,19.14174,3183.53,41.42196,3183.53,4.88664
3182.31,22.755,3182.31,10.87685,3182.31,5.20783,3182.31,9.78558,3182.31,40.56324,3182.31,13.5632
3181.1,17.07809,3181.1,15.01316,3181.1,9.25679,3181.1,15.32939,3181.1,40.99226,3181.1,25.04076
3179.89,19.54336,3179.89,16.24502,3179.89,3.9068,3179.89,1.39042,3179.89,42.34407,3179.89,25.15944
3178.67,25.65028,3178.67,5.32259,3178.67,-1.51034,3178.67,-9.36669,3178.67,48.02118,3178.67,37.35394
3177.46,20.27662,3177.46,0.90159,3177.46,-9.13824,3177.46,-12.45219,3177.46,48.33637,3177.46,40.19314
3176.25,24.97528,3176.25,0.77144,3176.25,-16.53804,3176.25,-12.51705,3176.25,44.11563,3176.25,39.96163
3175.03,32.56507,3175.03,-6.28392,3175.03,-22.84089,3175.03,-20.17502,3175.03,43.3831,3175.03,35.60214
3173.82,33.95548,3173.82,1.94082,3173.82,-22.31452,3173.82,-10.47019,3173.82,40.26108,3173.82,38.92345
3172.6,31.47488,3172.6,3.81094,3172.6,-20.97291,3172.6,4.07275,3172.6,42.38588,3172.6,41.53385
3171.39,30.15651,3171.39,5.77439,3171.39,-28.03011,3171.39,16.02769,3171.39,43.74315,3171.39,47.25083
3170.17,24.5548,3170.17,16.3159,3170.17,-20.67245,3170.17,20.92906,3170.17,44.79335,3170.17,44.33428
3168.96,19.32873,3168.96,18.23773,3168.96,-26.39183,3168.96,24.29533,3168.96,40.94967,3168.96,40.1622
3167.74,18.5249,3167.74,24.8918,3167.74,-28.30733,3167.74,26.45617,3167.74,39.46267,3167.74,43.26821
3166.52,32.27153,3166.52,23.41992,3166.52,-21.67298,3166.52,22.09733,3166.52,33.35987,3166.52,37.98713
3165.31,35.26825,3165.31,28.22461,3165.31,-15.75771,3165.31,35.00547,3165.31,31.7063,3165.31,41.91979
3164.09,43.99103,3164.09,30.96849,3164.09,-11.91234,3164.09,34.83876,3164.09,34.54631,3164.09,53.31364
3162.88,49.69691,3162.88,36.11671,3162.88,-22.57792,3162.88,37.24343,3162.88,35.06935,3162.88,64.05357
